"id","label","type","__class__","citation","key","heading","body","subsections","references","glossary_terms","normative_statements","text","modality","term","definition","standard_id_or_title","metadata","sections","glossary"
"Reference_f52195dc8d633948","Reference","entity","Reference","IEEE Std 982.1-1988, IEEE Standard Dictionary of Measures to Produce Reliable Software.","","","","","","","","","","","","","","",""
"Reference_a43ab5a521a7512e","Reference","entity","Reference","IEEE Std 982.2-1988, IEEE Guide for the Use of IEEE Standard Dictionary of Measures to Produce Reli-able Software.","","","","","","","","","","","","","","",""
"Reference_ceb6637791a4a4fc","Reference","entity","Reference","IEEE Std 1002-1987 (Reaff 1992), IEEE Standard Taxonomy for Software Engineering Standards.","","","","","","","","","","","","","","",""
"Reference_b291061ef7b60dfb","Reference","entity","Reference","IEEE Std 1012-1998, IEEE Standard for Software Verification and Validation.","","","","","","","","","","","","","","",""
"Reference_53f52d61a448060e","Reference","entity","Reference","IEEE Std 1012a-1998, IEEE Standard for Software Verification and Validation: Content Map to IEEE/EIA 12207.1-1997.","","","","","","","","","","","","","","",""
"Reference_1ba7fa9e2c2fafcc","Reference","entity","Reference","IEEE Std 1016-1998, IEEE Recommended Practice for Software Design Descriptions.","","","","","","","","","","","","","","",""
"Reference_7b5e5afd6aa7ee45","Reference","entity","Reference","IEEE Std 1028-1997, IEEE Standard for Software Reviews.","","","","","","","","","","","","","","",""
"Reference_50cf3768aad4f583","Reference","entity","Reference","IEEE Std 1042-1987 (Reaff 1993), IEEE Guide to Software Configuration Management.","","","","","","","","","","","","","","",""
"Reference_ac522d981a33fb8d","Reference","entity","Reference","IEEE P1058/D2.1, Draft Standard for Software Project Management Plans, dated 5 August 1998.","","","","","","","","","","","","","","",""
"Reference_8fafabc15b11d54a","Reference","entity","Reference","IEEE Std 1058a-1998, IEEE Standard for Software Project Management Plans: Content Map to IEEE/EIA 12207.1-1997.","","","","","","","","","","","","","","",""
"Reference_cad45def58a13c4e","Reference","entity","Reference","IEEE Std 1074-1997, IEEE Standard for Developing Software Life Cycle Processes.","","","","","","","","","","","","","","",""
"Reference_08237f411c5f73e3","Reference","entity","Reference","IEEE Std 1233, 1998 Edition, IEEE Guide for Developing System Requirements Specifications.","","","","","","","","","","","","","","",""
"NormativeStatement_30cc7248c034d78e","NormativeStatement","entity","NormativeStatement","","","","","","","","","This recommended practice shall be used in conjunction with the following publications.","shall","","","","","",""
"Section_b98554506656eaa7","Section","entity","Section","","2","References","This recommended practice shall be used in conjunction with the following publications.","[]","","[]","","","","","","","","",""
"Reference_ee50dbfd46ef7869","Reference","entity","Reference","IEEE Std 610.12-1990","","","","","","","","","","","","","","",""
"GlossaryTerm_9aeddfa09110d5d5","GlossaryTerm","entity","GlossaryTerm","","","","","","","","","","","contract","A legally binding document agreed upon by the customer and supplier. This includes the tech-nical and organizational requirements, cost, and schedule for a product. A contract may also contain infor-mal but useful information such as the commitments or expectations of the parties involved.","","","",""
"GlossaryTerm_16df2ea5d3cbcdb2","GlossaryTerm","entity","GlossaryTerm","","","","","","","","","","","customer","The person, or persons, who pay for the product and usually (but not necessarily) decide the requirements. In the context of this recommended practice the customer and the supplier may be members of the same organization.","","","",""
"GlossaryTerm_32b34ed237aeff23","GlossaryTerm","entity","GlossaryTerm","","","","","","","","","","","supplier","The person, or persons, who produce a product for a customer. In the context of this recom-mended practice, the customer and the supplier may be members of the same organization.","","","",""
"GlossaryTerm_77b8101b78e879af","GlossaryTerm","entity","GlossaryTerm","","","","","","","","","","","user","The person, or persons, who operate or interact directly with the product. The user(s) and the customer(s) are often not the same person(s).","","","",""
"Section_fc0f15f9ac3293a7","Section","entity","Section","","3","Definitions","In general the definitions of terms used in this recommended practice conform to the definitions provided in IEEE Std 610.12-1990. The definitions below are key terms as they are used in this recommended practice.","[]","","","[]","","","","","","","",""
"NormativeStatement_37bb85c17e40028f","NormativeStatement","entity","NormativeStatement","","","","","","","","","This clause provides background information that should be considered when writing an SRS.","should","","","","","",""
"Section_8d48ed7feb1a57e1","Section","entity","Section","","4","Considerations for producing a good SRS","This clause provides background information that should be considered when writing an SRS. This includes the following: 1. Nature of the SRS; 2. Environment of the SRS; 3. Characteristics of a good SRS; 4. Joint preparation of the SRS; 5. SRS evolution; 6. Prototyping; 7. Embedding design in the SRS; 8. Embedding project requirements in the SRS.","[]","[]","[]","","","","","","","","",""
"NormativeStatement_7290890cbe38602e","NormativeStatement","entity","NormativeStatement","","","","","","","","","The basic issues that the SRS writer(s) shall address are the following: 1. Functionality. What is the software supposed to do? 2. External interjaces. How does the software interact with people, the system's hardware, other hard-ware, and other software? 3. Perjormance. What is the speed, availability, response time, recovery time of various software func-tions, etc.? 4. Attributes. What are the portability, correctness, maintainability, security, etc. considerations? 5. Design constraints imposed on an implementation. Are there any required standards in effect, imple-mentation language, policies for database integrity, resource limits, operating environment(s) etc.?","shall","","","","","",""
"NormativeStatement_0c82363d17594fa2","NormativeStatement","entity","NormativeStatement","","","","","","","","","The SRS writer(s) should avoid placing either design or project requirements in the SRS.","should","","","","","",""
"Section_9635514f524c3083","Section","entity","Section","","4.1","Nature of the SRS","The SRS is a specification for a particular software product, program, or set of programs that performs certain functions in a specific environment. The SRS may be written by one or more representatives of the supplier, one or more representatives of the customer, or by both. Subclause 4.4 recommends both. The basic issues that the SRS writer(s) shall address are the following: 1. Functionality. What is the software supposed to do? 2. External interjaces. How does the software interact with people, the system's hardware, other hard-ware, and other software? 3. Perjormance. What is the speed, availability, response time, recovery time of various software func-tions, etc.? 4. Attributes. What are the portability, correctness, maintainability, security, etc. considerations? 5. Design constraints imposed on an implementation. Are there any required standards in effect, imple-mentation language, policies for database integrity, resource limits, operating environment(s) etc.? The SRS writer(s) should avoid placing either design or project requirements in the SRS. For recommended contents of an SRS see Clause 5.","[]","[]","[]","","","","","","","","",""
"Reference_c8e014707097e2f3","Reference","entity","Reference","IEEE Std 1074-1997","","","","","","","","","","","","","","",""
"NormativeStatement_6f04dc95b37c1f01","NormativeStatement","entity","NormativeStatement","","","","","","","","","Of course the SRS should then agree with and expand upon these system requirements.","should","","","","","",""
"NormativeStatement_c1634d31909457a3","NormativeStatement","entity","NormativeStatement","","","","","","","","","Since the SRS has a specific role to play in the software development process, the SRS writer(s) should be careful not to go beyond the bounds of that role.","should","","","","","",""
"NormativeStatement_13f2a69c7e7cf898","NormativeStatement","entity","NormativeStatement","","","","","","","","","Should correctly define all of the software requirements.","should","","","","","",""
"NormativeStatement_b269d2ade230efd9","NormativeStatement","entity","NormativeStatement","","","","","","","","","Should not describe any design or implementation details.","should not","","","","","",""
"NormativeStatement_8b4729ae247c76a0","NormativeStatement","entity","NormativeStatement","","","","","","","","","Should not impose additional constraints on the software.","should not","","","","","",""
"Section_8b1e04b3224c80f0","Section","entity","Section","","4.2","Environment of the SRS","It is important to consider the part that the SRS plays in the total project plan, which is defined in IEEE Std 610.12-1990. The software may contain essentially all the functionality of the project or it may be part of a larger system. In the latter case typically there will be an SRS that will state the interfaces between the system and its software portion, and will place external performance and functionality requirements upon the software portion. Of course the SRS should then agree with and expand upon these system requirements. IEEE Std 1074-1997 describes the steps in the software life cycle and the applicable inputs for each step. Other standards, such as those listed in Clause 2, relate to other parts of the software life cycle and so may complement software requirements. Since the SRS has a specific role to play in the software development process, the SRS writer(s) should be careful not to go beyond the bounds of that role. This means the SRS 1. Should correctly define all of the software requirements. A software requirement may exist because of the nature of the task to be solved or because of a special characteristic of the project. 2. Should not describe any design or implementation details. These should be described in the design stage of the project. 3. Should not impose additional constraints on the software. These are properly specified in other documents such as a software quality assurance plan. Therefore, a properly written SRS limits the range of valid designs, but does not specify any particular design.","[]","","[]","","","","","","","","",""
"NormativeStatement_477a8ecb71a03608","NormativeStatement","entity","NormativeStatement","","","","","","","","","An SRS should be 1. Correct; 2. Unambiguous; 3. Complete; 4. Consistent; 5. Ranked for importance and/or stability; 6. Verifiable; 7. Modifiable; 8. Traceable.","should","","","","","",""
"Section_45849d7121619a07","Section","entity","Section","","4.3","Characteristics of a good SRS","An SRS should be 1. Correct; 2. Unambiguous; 3. Complete; 4. Consistent; 5. Ranked for importance and/or stability; 6. Verifiable; 7. Modifiable; 8. Traceable.","[]","[]","[]","","","","","","","","",""
"NormativeStatement_c398cc896b5d662c","NormativeStatement","entity","NormativeStatement","","","","","","","","","every requirement stated therein is one that the software shall meet.","shall","","","","","",""
"NormativeStatement_214b26080b6de487","NormativeStatement","entity","NormativeStatement","","","","","","","","","The SRS should be compared with any applicable superior specification, such as a system requirements specification, with other project documentation, and with other applicable standards, to ensure that it agrees.","should","","","","","",""
"Section_050b2206f8d0180e","Section","entity","Section","","4.3.1","Correct","An SRS is correct if, and only if, every requirement stated therein is one that the software shall meet. There is no tool or procedure that ensures correctness. The SRS should be compared with any applicable superior specification, such as a system requirements specification, with other project documentation, and with other applicable standards, to ensure that it agrees. Alternatively the customer or user can determine if the SRS correctly reflects the actual needs. Traceability makes this procedure easier and less prone to error (see 4.3.8).","[]","[]","[]","","","","","","","","",""
"NormativeStatement_709fb9c619194612","NormativeStatement","entity","NormativeStatement","","","","","","","","","this requires that each characteristic of the final product be described using a single unique term.","required","","","","","",""
"NormativeStatement_d6fd8d1789a91fd0","NormativeStatement","entity","NormativeStatement","","","","","","","","","the term should be included in a glossary where its meaning is made more specific.","should","","","","","",""
"NormativeStatement_d62c646673f3a280","NormativeStatement","entity","NormativeStatement","","","","","","","","","The SRS should be unambiguous both to those who create it and to those who use it.","should","","","","","",""
"Section_83906f2bd4f60a21","Section","entity","Section","","4.3.2","Unambiguous","An SRS is unambiguous if, and only if, every requirement stated therein has only one interpretation. As a minimum, this requires that each characteristic of the final product be described using a single unique term. In cases where a term used in a particular context could have multiple meanings, the term should be included in a glossary where its meaning is made more specific. An SRS is an important part of the requirements process of the software life cycle and is used in design, implementation, project monitoring, verification and validation, and in training as described in IEEE Std 1074-1997. The SRS should be unambiguous both to those who create it and to those who use it. However, these groups often do not have the same background and therefore do not tend to describe software require-ments the same way. Representations that improve the requirements specification for the developer may be counterproductive in that they diminish understanding to the user and vice versa. Subclauses 4.3.2.1 through 4.3.2.3 recommend how to avoid ambiguity.","[]","","[]","","","","","","","","",""
"NormativeStatement_961add2e5edd57c3","NormativeStatement","entity","NormativeStatement","","","","","","","","","A natural language SRS should be reviewed by an independent party to identify ambiguous use of language so that it can be corrected.","should","","","","","",""
"Section_eb9182a74497e06d","Section","entity","Section","","4.3.2.1","Natural language pitfalls","Requirements are often written in natural language (e.g., English). Natural language is inherently ambigu-ous. A natural language SRS should be reviewed by an independent party to identify ambiguous use of language so that it can be corrected.","[]","[]","[]","","","","","","","","",""
"Section_839228e25b077ea0","Section","entity","Section","","4.3.2.2","Requirements speciication languages","One way to avoid the ambiguity inherent in natural language is to write the SRS in a particular requirements specification language. Its language processors automatically detect many lexical, syntactic, and semantic errors. One disadvantage in the use of such languages is the length of time required to learn them. Also, many non-technical users find them unintelligible. Moreover, these languages tend to be better at expressing certain types of requirements and addressing certain types of systems. Thus, they may influence the requirements in subtle ways.","[]","[]","[]","[]","","","","","","","",""
"NormativeStatement_0be9e6e2d6574d92","NormativeStatement","entity","NormativeStatement","","","","","","","","","When using any of these approaches it is best to retain the natural language descriptions.","recommended","","","","","",""
"Section_4f53d06a6054013b","Section","entity","Section","","4.3.2.3","Representation tools","In general, requirements methods and languages and the tools that support them fall into three general cate-gories-object, process, and behavioral. Object-oriented approaches organize the requirements in terms of real-world objects, their attributes, and the services performed by those objects. Process-based approaches organize the requirements into hierarchies of functions that communicate via data flows. Behavioral approaches describe external behavior of the system in terms of some abstract notion (such as predicate calculus), mathematical functions, or state machines. The degree to which such tools and methods may be useful in preparing an SRS depends upon the size and complexity of the program. No attempt is made here to describe or endorse any particular tool. When using any of these approaches it is best to retain the natural language descriptions. That way, custom-ers unfamiliar with the notations can still understand the SRS.","[]","[]","[]","","","","","","","","",""
"NormativeStatement_e9ddd4c293fb7544","NormativeStatement","entity","NormativeStatement","","","","","","","","","In particular any external requirements imposed by a system speci-fication should be acknowledged and treated.","should","","","","","",""
"NormativeStatement_5b7ad665fa6a29b6","NormativeStatement","entity","NormativeStatement","","","","","","","","","it is important to specify the responses to both valid and invalid input values.","should","","","","","",""
"Section_f989fb9f1f28e94f","Section","entity","Section","","4.3.3","Complete","An SRS is complete if, and only if, it includes the following elements: 1. All significant requirements, whether relating to functionality, performance, design constraints, attributes, or external interfaces. In particular any external requirements imposed by a system speci-fication should be acknowledged and treated. 2. Definition of the responses of the software to all realizable classes of input data in all realizable classes of situations. Note that it is important to specify the responses to both valid and invalid input values. 3. Full labels and references to all figures, tables, and diagrams in the SRS and definition of all terms and units of measure.","[]","[]","[]","","","","","","","","",""
"NormativeStatement_11df195b1f0e4b53","NormativeStatement","entity","NormativeStatement","","","","","","","","","The TBD is, however, occa-sionally necessary and should be accompanied by 1. A description of the conditions causing the TBD (e.g., why an answer is not known) so that the situ-ation can be resolved; 2. A description of what must be done to eliminate the TBD, who is responsible for its elimination, and by when it must be eliminated.","should","","","","","",""
"NormativeStatement_6a583329e36922bf","NormativeStatement","entity","NormativeStatement","","","","","","","","","what must be done to eliminate the TBD, who is responsible for its elimination, and by when it must be eliminated.","must","","","","","",""
"Section_13b9b5571a8b5729","Section","entity","Section","","4.3.3.1","Use of TBDs","Any SRS that uses the phrase ""to be determined"" (TBD) is not a complete SRS. The TBD is, however, occa-sionally necessary and should be accompanied by 1. A description of the conditions causing the TBD (e.g., why an answer is not known) so that the situ-ation can be resolved; 2. A description of what must be done to eliminate the TBD, who is responsible for its elimination, and by when it must be eliminated.","[]","[]","[]","","","","","","","","",""
"Section_a48dfe9e3dc209e2","Section","entity","Section","","4.3.4","Consistent","Consistency refers to internal consistency. If an SRS does not agree with some higher-level document, such as a system requirements specification, then it is not correct (see 4.3.1).","[]","[]","[]","[]","","","","","","","",""
"NormativeStatement_0b81161d1ffb164e","NormativeStatement","entity","NormativeStatement","","","","","","","","","One requirement may state that all lights shall be green while another may state that all lights shall be blue.","shall","","","","","",""
"NormativeStatement_41c74108188e8711","NormativeStatement","entity","NormativeStatement","","","","","","","","","One requirement may state that ""A"" must always follow ""B,"" while another may require that ""A and B"" occur simultaneously.","must","","","","","",""
"Section_ecbf7528c1070e6c","Section","entity","Section","","4.3.4.1","Internal consistency","An SRS is internally consistent if, and only if, no subset of individual requirements described in it conflict. The three types of likely conflicts in an SRS are as follows: 1. The specified characteristics of real-world objects may conflict. For example, 1. The format of an output report may be described in one requirement as tabular but in another as textual. 2. One requirement may state that all lights shall be green while another may state that all lights shall be blue. 2. There may be logical or temporal conflict between two specified actions. For example, 1. One requirement may specify that the program will add two inputs and another may specify that the program will multiply them. 2. One requirement may state that ""A"" must always follow ""B,"" while another may require that ""A and B"" occur simultaneously. 3. Two or more requirements may describe the same real-world object but use different terms for that object. For example, a program's request for a user input may be called a ""prompt"" in one require-ment and a ""cue"" in another. The use of standard terminology and definitions promotes consistency.","[]","[]","[]","","","","","","","","",""
"NormativeStatement_bff8dddb8e64027d","NormativeStatement","entity","NormativeStatement","","","","","","","","","Each requirement in the SRS should be identified to make these differences clear and explicit.","should","","","","","",""
"Section_8737cbb0d26b457a","Section","entity","Section","","4.3.5","Ranked for importance and/or stability","An SRS is ranked for importance and/or stability if each requirement in it has an identifier to indicate either the importance or stability of that particular requirement. Typically, all of the requirements that relate to a software product are not equally important. Some require-ments may be essential, especially for life-critical applications, while others may be desirable. Each requirement in the SRS should be identified to make these differences clear and explicit. Identifying the requirements in the following manner helps: 1. Have customers give more careful consideration to each requirement, which often clarifies any hidden assumptions they may have. 2. Have developers make correct design decisions and devote appropriate levels of effort to the differ-ent parts of the software product.","[]","[]","[]","","","","","","","","",""
"Section_25cfbb2e1b436fe8","Section","entity","Section","","4.3.5.1","Degree of stability","One method of identifying requirements uses the dimension of stability. Stability can be expressed in terms of the number of expected changes to any requirement based on experience or knowledge of forthcoming events that affect the organization, functions, and people supported by the software system.","[]","[]","[]","[]","","","","","","","",""
"Section_1df6e9dee4890e01","Section","entity","Section","","4.3.5.2","Degree of necessity","Another way to rank requirements is to distinguish classes of requirements as essential, conditional, and optional. 1. Essential. Implies that the software will not be acceptable unless these requirements are provided in an agreed manner. 2. Conditional. Implies that these are requirements that would enhance the software product, but would not make it unacceptable if they are absent. 3. Optional. Implies a class of functions that may or may not be worthwhile. This gives the supplier the opportunity to propose something that exceeds the SRS.","[]","[]","[]","[]","","","","","","","",""
"NormativeStatement_eb386e5b27a326b5","NormativeStatement","entity","NormativeStatement","","","","","","","","","every requirement stated therein is verifiable.","required","","","","","",""
"NormativeStatement_9a1af6668e01e9d1","NormativeStatement","entity","NormativeStatement","","","","","","","","","the program shall never enter an infinite loop","shall","","","","","",""
"NormativeStatement_0ded56eafa5fe9d8","NormativeStatement","entity","NormativeStatement","","","","","","","","","Output oj the program shall be produced within 20 s oj event ξ 60% oj the time; and shall be produced within 30 s oj event ξ J00% oj the time.","shall","","","","","",""
"NormativeStatement_6d05f773216b3336","NormativeStatement","entity","NormativeStatement","","","","","","","","","If a method cannot be devised to determine whether the software meets a particular requirement, then that requirement should be removed or revised.","should","","","","","",""
"Section_9886953c806c9489","Section","entity","Section","","4.3.6","Veriiable","An SRS is verifiable if, and only if, every requirement stated therein is verifiable. A requirement is verifiable if, and only if, there exists some finite cost-effective process with which a person or machine can check that the software product meets the requirement. In general any ambiguous requirement is not verifiable. Nonverifiable requirements include statements such as ""works well,"" ""good human interface,"" and ""shall usually happen."" These requirements cannot be verified because it is impossible to define the terms ""good,"" ""well,"" or ""usually."" The statement that ""the program shall never enter an infinite loop"" is nonverifiable because the testing of this quality is theoretically impossible. An example of a verifiable statement is Output oj the program shall be produced within 20 s oj event ξ 60% oj the time; and shall be produced within 30 s oj event ξ J00% oj the time. This statement can be verified because it uses concrete terms and measurable quantities. If a method cannot be devised to determine whether the software meets a particular requirement, then that requirement should be removed or revised.","[]","[]","[]","","","","","","","","",""
"NormativeStatement_3de0b03ab35fc79f","NormativeStatement","entity","NormativeStatement","","","","","","","","","the same requirement should not appear in more than one place in the SRS","should not","","","","","",""
"NormativeStatement_e38b8d7fa6956c11","NormativeStatement","entity","NormativeStatement","","","","","","","","","Whenever redundancy is necessary, the SRS should include explicit cross-references to make it modifiable.","should","","","","","",""
"Section_b5e692aba16d29fb","Section","entity","Section","","4.3.7","Modiiable","An SRS is modifiable if, and only if, its structure and style are such that any changes to the requirements can be made easily, completely, and consistently while retaining the structure and style. Modifiability generally requires an SRS to 1. Have a coherent and easy-to-use organization with a table of contents, an index, and explicit cross-referencing; 2. Not be redundant (i.e., the same requirement should not appear in more than one place in the SRS); 3. Express each requirement separately, rather than intermixed with other requirements. Redundancy itself is not an error, but it can easily lead to errors. Redundancy can occasionally help to make an SRS more readable, but a problem can arise when the redundant document is updated. For instance, a requirement may be altered in only one of the places where it appears. The SRS then becomes inconsistent. Whenever redundancy is necessary, the SRS should include explicit cross-references to make it modifiable.","[]","[]","[]","","","","","","","","",""
"NormativeStatement_94d80c530c2bbd76","NormativeStatement","entity","NormativeStatement","","","","","","","","","The following two types of trace-ability are recommended: 1. Backward traceability (i.e., to previous stages oj development). This depends upon each requirement explicitly referencing its source in earlier documents. 2. Forward traceability (i.e., to all documents spawned by the SRS). This depends upon each require-ment in the SRS having a unique name or reference number.","recommended","","","","","",""
