Requirement ID,Requirement Name,Requirement Description
REQ018,F18_Product Sorting,"The system shall allow users to sort search results based on criteria such as price, relevance, and ratings. Product sorting is configurable via Configuration → Settings → Catalog settings → Product sorting panel. Available sorting options include: Position (default/relevance), Name (A-Z, Z-A), Price (Low to High, High to Low), and Date of creation (newest first). Each sorting option can be individually activated or deactivated and assigned a display order by the store administrator. The 'Allow product sorting' checkbox enables or disables the sorting dropdown on category, manufacturer, and search result pages. The sorting dropdown appears at the top of the product listing and applies immediately when a selection is made. AJAX-based product loading can be enabled for smoother sorting without full page reloads."
REQ019,F19_Results Per Page,"The system shall allow users to choose the number of results displayed per page (e.g., 6, 12, etc.). Page size configuration is available for search results, categories, and manufacturers. When 'Allow customers to select page size' is enabled (in Catalog settings or per-category/manufacturer), a page size dropdown appears on the listing page. The available options are defined as a comma-separated list in 'Page size options' (e.g., '6, 3, 9'). The first value in the list is used as the default page size. When the setting is disabled, a fixed 'Page size' value is used instead. Pagination controls appear at the bottom of the product listing showing page numbers and navigation arrows. AJAX-based product loading can be enabled (via 'Use AJAX products loading' setting) to load pages without full page refreshes."
REQ020,F20_Product Ratings,"The system shall display product ratings based on customer reviews. Product ratings are calculated from approved customer reviews and displayed as star ratings (typically 1-5 stars) on product boxes in category pages, search results, and the product details page. In nopCommerce, product reviews can be configured to require store owner approval before appearing (Catalog settings → 'Product reviews must be approved'). Review settings include: one review per product per customer, allow anonymous reviews, require product purchase before reviewing, notify store owner of new reviews, and configurable reviews per page. Additionally, custom review types can be created (e.g., Quality, Value, Price ratings) to allow multi-dimensional rating. The product details page shows individual review entries with title, text, rating stars, reviewer name, date, and helpfulness voting (Yes/No)."
REQ021,F21_Product Categories,"The system shall provide a sidebar listing product categories for quick navigation. The category navigation block is displayed in the sidebar (left column) of the public store, showing a hierarchical tree of product categories. Categories are displayed based on their configured display order, with subcategories nested under parent categories. The sidebar can show the number of products in each category (configurable via 'Show number of distinct products beside each category' in Catalog settings). Clicking a category navigates to the category details page showing all products in that category. The Include in top menu setting additionally places popular categories in the top navigation bar. Category filtering supports specification attributes, price ranges, and manufacturer filters on the category page."
REQ022,F22_Manufacturers Filter,"The system shall allow users to filter search results by manufacturer (e.g., Apple, HP). nopCommerce supports manufacturer filtering on catalog pages when 'Enable manufacturer filtering' is enabled in Catalog settings. Manufacturers are managed via Catalog → Manufacturers and each manufacturer has a name, description, image, SEO-friendly URL, display order, page size options, and price range filtering. Products are assigned to manufacturers on the product edit page. The manufacturer filter appears on category and search result pages as a sidebar filter or dropdown. The manufacturer navigation block displays in the sidebar with a configurable number of manufacturers to show. Manufacturer details pages list all products by that manufacturer with sorting, view mode toggling, and pagination. Manufacturers can be limited to specific stores and customer roles."
REQ023,F23_Popular Tags,"The system shall provide a 'Popular Tags' section to help users discover products based on trending keywords. Product tags are keywords assigned to products for identification and narrow search (managed via Catalog → Product tags). Tags are entered as comma-separated values on the product edit page. The Popular Tags cloud is displayed on the sidebar of the catalog page, where the size of each tag is proportional to the number of products associated with it — more products means a larger tag in the cloud. The number of tags displayed in the cloud is configurable via Catalog settings → Tags → 'Number of product tags (cloud)'. Clicking a tag shows all products associated with that tag on a 'Products by tag' page, which supports configurable page sizes, price range filtering, and sorting. Tags are SEO-friendly and can drive organic search traffic."
REQ024,F24_Currency Selection,"The system shall allow users to select a preferred currency for price display. This requirement is functionally identical to REQ001. The currency selection dropdown is accessible from the header/footer area and allows customers to switch between configured currencies. All prices throughout the store — including product prices, shipping costs, taxes, discounts, gift card values, and order totals — are dynamically converted using the exchange rate defined for each currency in Configuration → Currencies. The primary store currency is used for all internal calculations and payment processing. The system supports automatic and manual exchange rate updates. Currency display format (symbol, decimal places, position) follows the configured culture settings."
REQ025,F25_Grid and List View,"The system shall provide options to switch between grid and list views for search results. The view mode toggle is available on category pages, manufacturer pages, and search result pages when 'Allow view mode changing' is enabled in Catalog settings → Catalog pages. The default view mode (Grid or List) is configurable. In Grid view, products are displayed in a multi-column card layout with product image, name, price, rating, and action buttons. In List view, products are displayed in a single-column layout with larger images and more detailed information including short descriptions. The selected view mode persists across page navigation within the session. The view mode toggle appears as icon buttons (grid icon / list icon) near the top of the product listing alongside sorting and page size controls."
REQ026,F26_User Account Access,"The system shall provide access to user authentication features, including login and registration, from the header. The header of the public store displays authentication links: 'Register' and 'Log in' for anonymous visitors, and 'My account' and 'Log out' for authenticated users. The header also displays the shopping cart icon with item count, wishlist link with item count, and optionally the customer's name. Registration and login links navigate to their respective pages. The 'My account' link provides access to customer information, addresses, orders, downloadable products, back-in-stock subscriptions, reward points, change password, and other account management features. The header layout is part of the store theme and can be customized through theme templates."
REQ027,F27_Wishlist Functionality,"The system shall allow logged-in users to add products to a wishlist from the search results. Each product listing in search results, category pages, and manufacturer pages includes an 'Add to wishlist' button (unless disabled per product via the 'Disable wishlist button' setting). Clicking the button adds the product to the user's wishlist with a default quantity of 1. For products with required attributes, the user is redirected to the product details page first. The system can either display the wishlist page immediately after adding (configurable via 'Display wishlist after adding a product') or keep the user on the current page. The wishlist icon in the header updates to reflect the new count. Guest users are prompted to log in or register before accessing wishlist functionality. Maximum wishlist items are configurable per store."
REQ028,F28_Product Details Display,"The system shall display detailed product information including name, image, description, specifications, and price. The product details page presents comprehensive product information: product name (H1 heading), image gallery with multiple pictures (supporting alt text, title, and display order) and optional video embeds from YouTube/Vimeo, short description, full description (rich text with HTML support), SKU, manufacturer part number, GTIN, price (with old price comparison, tax info, and PAngV base price for German compliance), availability status, delivery date, specification attributes table (filterable attributes like screen size, CPU type displayed in a structured table), product attributes (dropdowns, radio buttons, checkboxes, color squares for variations like size/color with price/weight adjustments), product tags, breadcrumb navigation, share buttons (AddThis integration), and 'Email a friend' option. The page also shows related products and cross-sell items."
REQ029,F29_Add to Cart,"The system shall allow users to add the selected product to the shopping cart. The product details page features a prominent 'Add to cart' button. Before adding, the user can select product attributes (size, color, etc.), specify quantity, and choose a shipping address (if applicable). The system validates: required attribute selections, stock availability (if inventory tracking is enabled), minimum/maximum cart quantities, allowed quantity restrictions, and existing attribute combination availability. For pre-order products, the button displays as 'Pre-order' instead. For 'Call for price' products, a 'Call for pricing' message replaces the button. The system supports configurable behavior after adding: redirect to cart page or remain on product page. The mini-shopping cart in the header updates with the new item count and details."
REQ030,F30_Quantity Selection,"The system shall allow users to specify the quantity of the product before adding it to the cart. The product details page includes a quantity input field (text box or dropdown) next to the 'Add to cart' button. By default, a numeric text box is displayed allowing the user to enter any quantity. However, if the store administrator has configured 'Allowed quantities' for the product (a comma-separated list like '1, 3, 5, 10'), the text box is replaced with a dropdown list of those specific quantities. The system enforces minimum cart quantity and maximum cart quantity restrictions configured per product. If inventory tracking is enabled, the system validates that the requested quantity does not exceed available stock (unless backorders are allowed). For products tracked by attribute combinations, stock validation applies per combination."
REQ031,F31_Add to Wishlist,"The system shall provide an option for logged-in users to add the product to their wishlist. The product details page includes an 'Add to wishlist' button below or beside the 'Add to cart' button. This button is visible unless the 'Disable wishlist button' checkbox is selected for the product. When clicked, the product (with any selected attribute values and specified quantity) is added to the customer's wishlist. The system can be configured to display the wishlist page immediately after adding or keep the customer on the product page. If a product is already in the wishlist, adding it again increments the quantity. The wishlist supports a configurable maximum number of items. Out-of-stock items can optionally be added to the wishlist based on store configuration."
REQ032,F32_Compare Products,"The system shall allow users to add the product to a comparison list. The 'Compare products' feature is enabled via Catalog settings → 'Compare products' enabled checkbox. When enabled, an 'Add to compare list' button appears on product details pages and product boxes in listings. Customers can add multiple products to compare their specification attributes, prices, and descriptions side by side on a dedicated comparison page. The comparison page displays: product images, names, prices, short descriptions (if 'Include short description in compare products' is enabled), full descriptions (if 'Include full description in compare products' is enabled), and all specification attributes in a tabular format for easy side-by-side comparison. Users can remove products from the comparison list individually."
REQ033,F33_Email a Friend,"The system shall allow users to share product details via email. The 'Email a friend' feature is enabled via Catalog settings → 'Email a friend' enabled checkbox. When enabled, a 'Email a friend' button/link appears on the product details page. Clicking it opens a form where the user enters: friend's email address, their own email (auto-populated if logged in), and a personal message. The system uses the 'Product.EmailAFriend' message template to format and send the email containing the product name, description, image, price, and a link to the product page. An option to 'Allow anonymous users to email a friend' can be enabled or disabled. CAPTCHA can be configured for anti-spam protection on this form."
REQ034,F34_Breadcrumb Navigation,"The system shall provide breadcrumb navigation to help users track their location within the site hierarchy. Breadcrumb navigation is displayed as a horizontal bar at the top of product pages, category pages, and other content pages, showing the hierarchical path from the home page to the current page. For example: Home > Computers > Desktops > Product Name. Each element in the breadcrumb is a clickable hyperlink navigating to the corresponding page. Breadcrumb navigation is enabled via Catalog settings → 'Category breadcrumb enabled' checkbox. For products in multiple categories, the breadcrumb displays the category path based on the referring category or the first assigned category. Breadcrumbs improve user navigation and contribute to SEO by providing structured internal linking."
REQ035,F35_Product Ratings,"The system shall display product ratings and reviews on the product details page. The product details page includes a reviews section showing: overall rating (star display), individual review entries with title, review text, star rating, reviewer name/date, and helpfulness voting (Was this review helpful? Yes/No). Customers can submit reviews by clicking 'Add your review' which opens a form with: review title, review text, and rating selection (1-5 stars). Custom review types (e.g., Quality, Value, Price) can be configured to collect multi-dimensional ratings. Reviews can be configured to require approval before display, limit to one review per product per customer, require product purchase, and allow replies from the store owner. Reviews are sortable by creation date."
REQ036,F36_Review Submission,"The system shall allow only registered users to submit reviews. Product review submission can be restricted to registered (logged-in) users only by configuring review settings in Catalog settings. When 'Allow anonymous users to write product reviews' is disabled, only authenticated users can submit reviews — anonymous visitors see a prompt to log in or register. Additionally, the 'Product review possible only after product purchasing' setting restricts reviews to customers who have actually ordered the product. Submitted reviews include a title, review text, and rating (1-5 stars plus any configured custom review types). The system notifies the store owner about new reviews (configurable) and can notify the customer when their review receives a reply. Reviews appear on the customer's 'My Account' page if enabled."
REQ037,F37_Shipping Selection,"The system shall provide an option for users to select the address they want to ship to before adding the product to the cart. nopCommerce supports an 'Estimate shipping' feature that can be displayed on both the shopping cart page and the product details page (configurable via Configuration → Settings → Shipping settings → 'Estimate shipping enabled (product page)' and 'Estimate shipping enabled (cart page)'). On the product details page, a shipping estimation popup allows the customer to enter country, state/province, and zip/postal code to see available shipping options and costs before adding to cart. On the shopping cart page, the 'Estimate Shipping' button opens a similar popup. During checkout, the shipping address step allows customers to select from saved addresses or enter a new shipping address with full address details."
REQ038,F38_Product SKU,"The system shall display the SKU (Stock Keeping Unit) for the product. The SKU is a unique internal identifier used for inventory tracking and is entered on the product edit page in the 'Product info' panel. SKU display is controlled by two settings in Catalog settings → Product fields: 'Show SKU on product details page' and 'Show SKU on catalog pages'. When enabled, the SKU appears on the product details page near the product name/price area and optionally on category/search listing pages. The SKU is also displayed in shopping cart line items, wishlist entries, order details, invoices, and shipment records. For products with attribute combinations, each combination can have its own unique SKU that replaces the base product SKU when that combination is selected."
REQ039,F39_Shopping Cart Display,"The system shall display the shopping cart with product details including SKU, image, name, price, quantity, total price, and remove option. The shopping cart page presents a tabular layout with columns: Remove checkbox, product image (if 'Show product images on cart' is enabled), product name (clickable link to product page), SKU, unit price, quantity input field (editable), and line total (unit price × quantity). Below the product table, the cart displays: gift wrapping options (checkout attributes), discount code input with 'Apply coupon' button, gift card code input with 'Add gift card' button, and an order totals summary showing sub-total, shipping cost estimate, tax amount, reward points earned, and grand total. Action buttons include 'Update shopping cart', 'Continue shopping', 'Estimate shipping', and 'Checkout'. The cart supports configurable maximum items and product image display."
REQ040,F40_Update Quantity,"The system shall allow users to update the quantity of items in the shopping cart. Each product row in the shopping cart contains an editable quantity (Qty) field. The customer can change the numeric value and click the 'Update shopping cart' button to recalculate all line totals and the order summary. The system validates: minimum cart quantity, maximum cart quantity, allowed quantities (if restricted to specific values), and stock availability (if inventory tracking is enabled). If the entered quantity exceeds available stock and backorders are not allowed, an appropriate error message is displayed. Quantity updates also trigger recalculation of applicable discounts, tier prices, shipping estimates, and tax amounts. The mini-shopping cart in the header also updates to reflect the new quantities."
REQ041,F41_Remove Item,"The system shall allow users to remove items from the shopping cart. Each product row in the shopping cart includes a 'Remove' checkbox (or button). The customer selects the checkbox for item(s) to remove and clicks the 'Update shopping cart' button, which removes the selected items and recalculates the order totals. Removing items updates: the cart item count in the header, the mini-shopping cart dropdown, applicable discount calculations (some discounts may no longer apply), shipping cost estimates, and tax amounts. If all items are removed, the cart displays an empty cart message with a 'Continue shopping' or similar link. For products that require other products, the system can optionally auto-remove the required products when the main product is removed (configurable via 'Remove required products' in Catalog settings)."
REQ042,F42_Gift Wrapping Option,"The system shall provide an option to select gift wrapping for products in the shopping cart. Gift wrapping is implemented as a checkout attribute in nopCommerce (Catalog → Attributes → Checkout attributes). A checkout attribute for gift wrapping typically appears as a dropdown on the shopping cart page with options like 'No', 'Yes ($X.XX)'. The store administrator creates this attribute with control type (dropdown, radio buttons, checkboxes), optional price adjustments per value, weight adjustments, tax category, and display order. Checkout attributes can be conditional (appear only when certain conditions are met), required or optional, and limited to specific stores. The 'Shippable product required' option ensures the attribute only appears when the cart contains products requiring shipping. The gift wrapping cost is added to the order total."
REQ043,F43_Apply Coupon,"The system shall allow users to apply discount codes to their order. The shopping cart page displays a 'Discount code' input box (visible when 'Show discount box' is enabled in Shopping cart settings). Customers enter a coupon code and click 'Apply coupon' to activate the discount. nopCommerce supports multiple discount types: Assigned to order total, Assigned to products, Assigned to categories, Assigned to manufacturers, Assigned to shipping, and Assigned to order subtotal. Discounts can be percentage-based or fixed amount, with optional maximum discount limits. Discount features include: coupon code requirement, start/end date scheduling, cumulative discount support, usage limitations (unlimited, N times only, N times per customer), maximum discounted quantity, and configurable discount requirements (e.g., must be assigned to a customer role, minimum order amount). Multiple coupon codes can be applied to a single order if they fit."
REQ044,F44_Apply Gift Card,"The system shall allow users to redeem gift cards by entering a gift card code. The shopping cart page displays a 'Gift card' input box (visible when 'Show gift card box' is enabled in Shopping cart settings). Customers enter the gift card coupon code and click 'Add gift card' to apply it to the order. Gift cards in nopCommerce can be Virtual (delivered via email) or Physical (shipped). Gift cards are created as products with the 'Is gift card' checkbox enabled. After purchase, gift cards are activated either automatically when the order is completed or manually by the administrator. Each gift card has a unique coupon code, initial value, remaining balance, recipient details, and usage history. Gift card values are deducted from the order total, and remaining balances carry over for future use. Customers can optionally check gift card balances (with CAPTCHA protection)."
REQ045,F45_Continue Shopping,"The system shall provide a 'Continue Shopping' button to allow users to return to product browsing. The 'Continue shopping' button is displayed on the shopping cart page, allowing customers to navigate back to the catalog to continue browsing products. When clicked, the button typically redirects the customer to the last visited category page, the homepage, or the catalog root. This enables a seamless shopping experience where customers can add items to the cart incrementally without being locked into the checkout flow. The button is always visible on the shopping cart page alongside the 'Checkout' button."
REQ046,F46_Estimate Shipping,"The system shall provide an 'Estimate Shipping' button to calculate potential shipping costs before checkout. The 'Estimate Shipping' button is displayed on the shopping cart page when 'Estimate shipping enabled (cart page)' is enabled in Configuration → Settings → Shipping settings. Clicking the button opens a popup/modal where the customer enters: Country (dropdown), State/Province (dropdown, populated based on country), and Zip/Postal code. The system calculates available shipping options (e.g., Ground, Next Day Air, 2nd Day Air) with their respective costs based on the cart contents, product weights/dimensions, and configured shipping methods/providers. Results display shipping method names, descriptions, and costs. The customer can select a preferred shipping option, which is then reflected in the order totals section. Shipping computation methods include fixed rates, by weight, by total, and real-time carrier rate calculation."
REQ047,F47_Order Summary,"The system shall display an order summary including sub-total, shipping cost, tax, and total amount. The order totals section appears on the shopping cart page and throughout the checkout process. It displays: Sub-total (sum of all line item totals), Shipping cost (calculated based on selected shipping method, product weights, and destination), Tax (calculated based on tax settings, product tax categories, and customer address), any applied Discount amounts (with coupon code reference), Gift card deductions (if applied), Reward points earned for the order, and the Grand Total. During checkout, the order summary is updated at each step as the customer provides billing/shipping addresses and selects shipping/payment methods. The 'Order totals on payment info tab' option can display the summary on the payment step in one-page checkout. Tax display can be configured as inclusive or exclusive."
REQ048,F48_Checkout Process,"The system shall provide a 'Checkout' button for users to proceed to the checkout process. The 'Checkout' button is prominently displayed on the shopping cart page. nopCommerce supports two checkout modes: (1) Multi-step checkout — a wizard-style process with separate pages for billing address, shipping address, shipping method, payment method, payment information, and order confirmation. (2) One-page checkout — all checkout steps on a single page with collapsible sections (enabled via 'Use one page checkout' in Order settings). Before proceeding to checkout, the system validates: Terms of service agreement (if required), minimum order subtotal/total, cart item stock availability, and user authentication (login/register or guest checkout). The checkout process flow: Billing Address → Shipping Address (or 'Ship to same address') → Shipping Method → Payment Method → Payment Information → Confirm Order → Order Completed."
REQ049,F49_Terms of Service Agreement,"The system shall require users to agree to the terms of service before proceeding to checkout. Terms of service agreement is configurable in Configuration → Settings → Order settings. Two options are available: (1) 'Terms of service (shopping cart page)' — requires agreement on the shopping cart page before the checkout button becomes active, and (2) 'Terms of service (confirm order page)' — requires agreement on the order confirmation step. The terms of service content is managed through a Topic/Page (Content management → Topics) with the system name 'ConditionsOfUse'. The checkbox text includes a clickable link that opens the terms of service content in a popup or new window. The checkout process is blocked until the customer checks the agreement box."
REQ050,F50_Guest Checkout,"The system shall allow users to proceed to checkout as a guest without requiring account registration. Guest checkout is enabled via 'Anonymous checkout allowed' in Configuration → Settings → Order settings. When enabled, the checkout login page presents three options: (1) Checkout as Guest — allows completing the purchase without creating an account, (2) Register — create a new account before checkout, and (3) Returning Customer — log in with existing credentials. Guest customers provide their billing and shipping information during checkout but do not create a persistent account. Guest checkout can be disabled for specific scenarios like downloadable products ('Require registration for downloadable products'). Note: some features like wishlists, order history, and reward points require a registered account. The billing address step for guests requires mandatory fields (name, email, address details)."
REQ051,F51_User Registration,"The system shall provide a registration option for users to create an account for future convenience. The registration page (accessible via header 'Register' link or during checkout) includes configurable form fields: Gender selection (Male/Female), First name, Last name, Date of birth (with minimum age validation), Email address, Company name (optional), Newsletter subscription checkbox (with configurable default state), Password and Confirm password fields. Password validation enforces configurable complexity rules: minimum length, at least one uppercase letter, at least one lowercase letter, at least one digit, at least one special character, and unduplicated passwords. Registration methods include: Standard (immediate access), Email validation required (confirmation email sent), and Administrator approval required. CAPTCHA can be enabled on the registration form. The 'Accept privacy policy' checkbox can be required. After registration, the customer is assigned to the 'Registered' customer role."
